Date,Rating,Title,Review
"November 21, 2019",5,Daniel was a huge help to my situation,"Daniel was a huge help to my situation. Even thought his hands were basically tied since I had already exceeded my return policy day, he gave me a lot of helpful insight."
"November 21, 2019",1,Stay clear,"Stay clear, twice in two days they will send you the same wrong jeans twice, they take hours to response over social media and no obvious way to chat to people when these circumstances arrived."
"November 21, 2019",4,So helpful and fast,"So helpful and fast, thank you"
"November 21, 2019",5,Amazing Customer Service !,"Andrew was extremely efficient, patient, and helpful! I got the help I needed and could not have had a better customer service experience. This was my first order with Asos, and the delivery did not make it, but was offered a replacement. Definitely will continue to shop with Asos. :)"
"November 21, 2019",5,ROBYN is a very good customer service,"ROBYN is a very good customer service, I am happy that my question get solved."
"November 21, 2019",1,Used to love ASOS but am deleting…,"Used to love ASOS but am deleting account. The delivery and customer service has really gone downhill in the last couple of years. They don’t respond through most customer service channels and when you can get hold of someone on chat they have about as much information as you do, give conflicting information about deliveries and are of very little use. This time I’ve been waiting for a next day delivery order for 5 days, Hermes haven’t updated tracking since 4 days ago and they’ve said I have to wait until midnight to get more information or request a refund. More hassle than it’s worth - I would avoid any company that uses Hermes for deliveries and no longer recommend ASOS because the customer service when things do go wrong is shocking."
"November 21, 2019",5,Very Useful!,Very Useful!This chat was very useful and was very quick and easy. Robyn was very helpful and answered my questions in depth and ensured my problem was solved.
"November 21, 2019",5,Dealt with Courtnay- very helpful and…,Dealt with Courtnay- very helpful and lovely throughout the chat and resolved my issues quickly!
"November 21, 2019",5,Very quick response and professional…,Very quick response and professional dealings.
"November 21, 2019",4,To add an option for all orders if to make it as a gift and to write a small personal message to let recepient notify who is the sender.,"Had some issues with my order as it was a gift but at the end i never got a chance or any option to mark it as a gift and write my name as a sender or a small message so the recipient would know who is it from plus was bit worried if the recipient will by mistake gets the invoice as well with package (which I never wanted) so had to chat with one of the member at ASOS, she helped me as much as she could but at the end i feel that people like me who have always got things delivered for ourselves and find it hard when we order something straight to recipient as a gift. ASOS should make an option while before asking for payment whether its a gift and to give an option to write  small message of no more than 20 to 30 words for the recipient to let them know who is it coming from."
"November 21, 2019",5,Kris was absolutely helpful and…,"Kris was absolutely helpful and effective, and resolved the issue."
"November 21, 2019",1,Darby was really not very helpful Ive…,Darby was really not very helpful Ive been a premier delivery customer for a few years and spent hundreds with ASOS. I had my student code of 25% so I got some trousers which unfortunately don’t fit my birthday is next week and the new size I need is low in stock which has happened to me before by the time the exchange occurs the item is out of stock. I therefore was asking if there was any way they would be held over in my new size for when my original trousers are returned or if I could receive a one off promo code to make a new order for them however Darby said no and sent me a returns policy link which I don’t need as I know it well enough. Just dissappointing when I love ASOS and there is nothing personal the company can do in these cases.
"November 21, 2019",5,Thanks to Dwayne for all his help 👍🏻,Thanks to Dwayne for all his help! Matter dealt with efficiently.
"November 21, 2019",5,Quick and polite customer service.,Quick and polite customer service. Mihaela was really helpful in resolving my issue.
"November 21, 2019",5,Joseph was amazing,"Joseph was amazing, after a week my order hadnt arrived but they refunded me fully and gave me an even better discount code which unfortunately doesn't work for items on sale but still nice :)"
"November 21, 2019",5,I feel like grant was really helpful…,I feel like grant was really helpful with my issue excellent customer service
"November 21, 2019",5,Love ASOS,Love ASOS as they extremely accomodating - and shout out to Arnie on customer service who helped me out big time!
"November 21, 2019",3,Great customer service but poor packaging,"I ordered a product, it came broken. The customer service by I believe it was Julyen was excellent and it came the next day. Unfortunately the replacement was broken too! So clearly that is a warehouse problem, and packaging should be addressed. But then Chelsea sorted me out a refund so quickly so thank you Chelsea. All in all - great customer service but poor in the warehouse."
"November 21, 2019",5,Thank you very much for your help…,Thank you very much for your help Mihaela
"November 21, 2019",4,Jack was very helpfull,Jack was very helpfull! Thanks!I hope to receve my items in a few days!
"November 21, 2019",4,Amazing expereince,I ordered 2 boots 1 was missing in the delivery. I told the customer care and they sorted it out by replacement.
"November 21, 2019",5,Kris was amazing,"Kris was amazing, fixed my issue with 45 seconds, amazing service"
"November 21, 2019",5,Very helpful and understanding of the…,Very helpful and understanding of the mistake someone else has made!
"November 21, 2019",5,Noice,Noice one bruva
